Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page
Carytid Column,Medium,Construct,,Unaligned,1,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,43
Feral Undead Cat,Small,Undead,,Chaotic Evil,1/8,,,,,,,,,,,,,,,,x,,x,,Fifth Edition Foes,44
Caterprism,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,45
Giant Electric Catfish,Large,Beast,Aquatic,Unaligned,3,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,46
Catoblepas,Large,Monstrosity,,Unaligned,5,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,47
Cave Cricket,Small,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,48
Cave Eel,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,49
Cave Fisher,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,x,x,,,,x,,,,Fifth Edition Foes,50
Cave Leech,Large,Beast,,Chaotic Evil,6,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,51
Swarm of Centipedes,Medium,Beast,,Unaligned,1/2,,,,,,,,,,x,x,x,x,,x,,,x,,Fifth Edition Foes,52
Cerebral Stalker,Medium,Aberration,,Chaotic Evil,5,,,,,,,,,x,,x,x,x,x,,,,,,Fifth Edition Foes,53
Chain Worm,Large,Beast,,Unaligned,12,,,,,,,,,,,x,x,x,,x,x,,,,Fifth Edition Foes,54
Chaos Knight,Medium,Fiend,,Chaotic Evil,4,,x,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,55
Chupacabra,Small,Humanoid,,Chaotic Neutral,1,,,,,,,,,,,x,,x,,x,,,x,,Fifth Edition Foes,56
Church Grim,Medium,Monstrosity,Incorporeal,Lawful Good,1,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,57
Churr,Large,Monstrosity,,Neutral Evil,4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,58
Cimota,Medium,Undead,,Lawful Neutral,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,59
Cimota Guardian,Medium,Undead,,Lawful Neutral,4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,59
High Cimota,Medium,Undead,,Lawful Neutral,6,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,60
Giant Clam,Large,Beast,,Unaligned,1/4,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,61
Clamor,Medium,Aberration,"Extraplanar, Incorporeal",Unaligned,2,,,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,62
Cobra Flower,Large,Plant,,Unaligned,2,,,,,,,,x,,,x,,,x,,,,,,Fifth Edition Foes,63
Coffer Corpse,Medium,Undead,,Chaotic Evil,2,,,,,,,,,,,x,x,,,x,x,,,,Fifth Edition Foes,64
Cooshee,Medium,Monstrosity,,Neutral Good,1,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,65
Corpse Rook,Large,Monstrosity,,Neutral Evil,4,,,,,,,,,,x,,x,x,,,,,,,Fifth Edition Foes,66
Corpsespinner,Huge,Monstrosity,Extraplanar,Unaligned,5,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,67
Corpsespun,Medium,Undead,,Neutral,1,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,68
Crabman,Large,Monstrosity,,Neutral,1,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,69
Monstrous Crayfish,Large,Beast,Aquatic,Unaligned,2,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,70
Crimson Mist,Medium,Aberration,,Neutral Evil,7,,,,,,,,,,,,,,,x,x,,,,Fifth Edition Foes,71
Crypt Thing,Medium,Undead,,Neutral,3,,,,,,,,,,,,,,,,x,,x,,Fifth Edition Foes,72
Dagon,Large,Fiend,Aquatic,Chaotic Evil,20,,x,x,,,,,,x,,,,,,x,,x,,x,Fifth Edition Foes,73
Dark Creeper,Small,Humanoid,,Chaotic Neutral,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,74
Dark Stalker,Medium,Humanoid,,Chaotic Neutral,2,,x,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,75
Darnoc,Medium,Undead,,Lawful Neutral,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,76
Lesser Death Dog,Medium,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,x,,,,,,,,,,Fifth Edition Foes,77
Death Worm,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,78
Decapus,Medium,Aberration,,Chaotic Evil,2,,x,,,,,,,,,x,,,,,x,,,x,Fifth Edition Foes,79
Teratashia,Large,Fiend,Demon,Chaotic Evil,15,,x,,,x,,,,,,,,,,,,,,x,Fifth Edition Foes,80
Thalasskoptis,Large,Fiend,Demon,Chaotic Evil,10,,x,x,,x,,,,x,,,,,,x,,x,,x,Fifth Edition Foes,81
Demonic Knight,Medium,Fiend,,Chaotic Evil,5,,x,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,82
Denizen of Leng,Medium,Aberration,,Chaotic Evil,5,,x,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,83
Dire Corby,Medium,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,84
Black Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,x,,,,,x,x,,,,Fifth Edition Foes,85
Blue Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,x,,,,x,,x,,,,Fifth Edition Foes,85
Green Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,,x,,,,,x,,,,Fifth Edition Foes,85
Red Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,,,,,x,,x,,,,Fifth Edition Foes,85
White Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,x,,,,,,x,,x,,,,Fifth Edition Foes,85
Fire Drake,Small,Dragon,,Chaotic Evil,1,,,,,,,,,,x,,,x,x,,,,,,Fifth Edition Foes,86
Ice Drake,Small,Dragon,,Chaotic Evil,1,,x,,,,,,x,,,,,,x,,,,,,Fifth Edition Foes,87
Dust Digger,Large,Aberration,,Unaligned,3,,,,,,,,,,x,,,,,,,,,,Fifth Edition Foes,88
Eblis,Medium,Monstrosity,,Neutral Evil,1/2,,x,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,89
Ectoplasm,Large,Ooze,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,90
Giant Moray Eel,Medium,Beast,Aquatic,Unaligned,2,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,91
Gulper Eel,Large,Beast,Aquatic,Unaligned,3,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,92
Elusa Hound,Medium,Monstrosity,,Unaligned,1,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,93
Encephalon Gorger,Medium,Aberration,,Chaotic Evil,4,,,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,94
Giant Ant Exoskeleton,Large,Construct,,Unaligned,1/2,,,,,,,,,,x,,x,,,,,,,,Fifth Edition Foes,95
Giant Beetle Exoskeleton,Large,Construct,,Unaligned,2,,,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,96
Giant Crab Exoskeleton,Large,Construct,,Unaligned,3,,x,,,,,,,,x,x,x,x,x,,,,,,Fifth Edition Foes,97
Fear Guard,Medium,Undead,,Chaotic Evil,3,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,98
Fen Witch,Medium,Monstrosity,,Chaotic Evil,2,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,99
Fetch,Medium,Undead,,Lawful Neutral,1,,,,,,,,x,,,,,x,x,,,,,,Fifth Edition Foes,100
Greater Fire Crab,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,101
Lesser Fire Crab,Small,Monstrosity,,Unaligned,1/8,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,101
Poisonous Fire Snake,Small,Fiend,,Unaligned,1/2,,,,,,,,,,,x,,,,,,,,x,Fifth Edition Foes,102
Flail Snail,Large,Monstrosity,Elemental,Unaligned,3,,,,,,,,,,,x,,,,x,x,,x,,Fifth Edition Foes,103
Flowershroud,Large,Plant,,Unaligned,1,,,,,,,,,,,x,x,x,,x,,,,,Fifth Edition Foes,104
Foo Dog,Medium,Monstrosity,,Chaotic Good,2,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,105
Forester's Bane,Large,Plant,,Unaligned,5,,,,,,,,,,,x,x,,,,,,,,Fifth Edition Foes,106
Froghemoth,Huge,Aberration,Monstrosity,Unaligned,11,,,,,,,,,,,,,,,x,x,,,,Fifth Edition Foes,107
Fungoid,Medium,Plant,Fungus,Neutral Evil,2,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,108
Fungus Bat,Medium,Plant,Fungus,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,109
Fyr,Small,Fey,,Neutral,1/4,,x,,,,,,,,,x,,,x,,,,,,Fifth Edition Foes,110
Gallows Tree,Huge,Plant,,Unaligned,13,,,,,,,,,,,x,x,x,,x,,,,,Fifth Edition Foes,111
Gallows Tree Zombie,Medium,Plant,,Unaligned,2,,,,,,,,,,,x,x,x,,x,,,,,Fifth Edition Foes,112
Four-Armed Gargoyle,Medium,Monstrosity,,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,113
Fungus Gargoyle,Medium,Plant,Fungus,Neutral Evil,3,,x,,,,,,,,x,x,x,x,,,x,,,,Fifth Edition Foes,114
Green Guardian Gargoyle,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,115
Margoyle,Medium,Monstrosity,,Chaotic Evil,5,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,116
Hawanar Genie,Large,Fiend,,Lawful Neutral,7,,x,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,117
Ghost Ammonite,Medium,Undead,,Unaligned,2,,,,,,,,,,,,,,,,,,x,,Fifth Edition Foes,118
Giant Slug of P'nahk,Large,Fiend,,Chaotic Evil,4,,,,,,,,,,,,,,,x,,x,,x,Fifth Edition Foes,119
Jack-in-Irons Giant,Huge,Giant,,Chaotic Evil,7,,,,,,,,,,,x,x,,,,,,,,Fifth Edition Foes,120
Gillmonkey,Small,Beast,Aquatic,Chaotic Evil,1/4,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,121
Gloom Crawler,Huge,Monstrosity,,Neutral,10,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,122
Gnarlwood,Huge,Plant,,Neutral Evil,8,,x,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,123
Gohl (Hydra Cloud),Large,Aberration,,Chaotic Evil,8,,,,,,,,,,,,,,,,x,,,x,Fifth Edition Foes,124
Golden Cat,Tiny,Beast,,Unaligned,0,,,,,,,,,x,,x,x,x,,,,,x,,Fifth Edition Foes,125
Flagstone Golem,Large,Construct,,Unaligned,7,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,126
Furnace Golem,Large,Construct,,Unaligned,9,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,127
Stone Guardian Golem,Medium,Construct,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,128
Wooden Golem,Medium,Construct,,Unaligned,3,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,129
Gorbel,Small,Aberration,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,130
Gorgimera,Large,Monstrosity,,Unaligned,7,,,,,,,,,,,,,x,x,,,,,,Fifth Edition Foes,131
Gorilla Bear,Medium,Monstrosity,,Unaligned,1,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,132
Gray Nisp,Large,Fey,,Chaotic Neutral,6,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,133
Green Brain,Small,Plant,,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,134
Grimm,Large,Fey,,Neutral Evil,7,,x,,,,,,,,,,,,x,,,,,,Fifth Edition Foes,135
Grippli,Small,Humanoid,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,136
Grue (type 1),Large,Ooze,,Unaligned,4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,137
Grue (type 2),Medium,Aberration,,Chaotic Evil,2,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,138
Hanged Man,Medium,Undead,,Chaotic Evil,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,139
Hangman Tree,Huge,Plant,,Neutral Evil,7,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,140
Hawktoad,Small,Monstrosity,,Unaligned,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,141
Helix Moth Adult,Huge,Beast,,Unaligned,6,,,,,,,,,,,x,,,,,x,,,,Fifth Edition Foes,142
Helix Moth Larva,Large,Beast,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,142
Hieroglyphicroc,Large,Undead,,Lawful Neutral,3,,,,,,,,,,x,,,,,,,,,x,Fifth Edition Foes,143
Hippocampus,Large,Monstrosity,,Chaotic Good,1,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,144
Hoar Fox,Small,Monstrosity,,Unaligned,1,,,,,,,,x,,,x,,x,,,,,,,Fifth Edition Foes,145
Giant Horsefly,Large,Beast,,Unaligned,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,146
Huggermugger,Small,Humanoid,,Chaotic Evil,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,147
Igniguana,Medium,Elemental,,Unaligned,1,,,,,,,,,,x,,,,,,x,,,x,Fifth Edition Foes,148
Jackal of Darkness,Small,Undead,,Neutral Evil,1,,,,,,,,,,x,,,,,,,,,x,Fifth Edition Foes,149
Jaculi,Medium,Monstrosity,,Unaligned,1/8,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,150
Mustard Jelly,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,151
Jupiter Bloodsucker,Medium,Plant,,Unaligned,1,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,152
Kamadan,Large,Monstrosity,,Unaligned,3,,,,,,,,,,x,x,x,x,,x,,,,,Fifth Edition Foes,153
Kampfult,Medium,Plant,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,154
Kech,Medium,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,155
Kelpie,Medium,Plant,,Neutral Evil,1,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,156
Khargra,Small,Fiend,,Unaligned,2,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,157
Korred,Small,Fey,,Chaotic Neutral,1,,x,,,,,,,,,x,,x,,,,,,,Fifth Edition Foes,158
Kurok-Spirit,Large,Fiend,,Chaotic Neutral,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,159
Land Lamprey,Small,Beast,,Unaligned,1/4,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,160
Lava Child,Medium,Humanoid,Elemental,Neutral,1,,,,,,,,,,,,,,,,x,,,x,Fifth Edition Foes,161
Leng Spider,Huge,Aberration,,Chaotic Evil,6,,x,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,162
Snow Leopard,Medium,Beast,,Unaligned,1/4,,,,,,,,x,,,x,x,,x,,,,,,Fifth Edition Foes,163
"Leucrotta, Adult",Large,Monstrosity,,Chaotic Evil,2,,,,,,,,,,x,x,x,x,,x,,,,,Fifth Edition Foes,164
"Leucrotta, Young",Medium,Monstrosity,,Chaotic Evil,1/4,,,,,,,,,,x,x,x,x,,x,,,,,Fifth Edition Foes,164
Lithonnite,Large,Monstrosity,,Unaligned,4,,,,,,,,,x,,,,,,x,x,x,,,Fifth Edition Foes,165
Magmoid,Large,Elemental,,Unaligned,4,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,166
Mandragora,Small,Plant,Fungus,Neutral Evil,1/8,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,167
Mandrill,Small,Beast,,Unaligned,1/8,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,168
Mantari,Medium,Monstrosity,,Neutral Evil,1/8,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,169
Assassin Bug,Medium,Beast,,Unaligned,5,,,,,,,,,,,x,,x,,x,,,,,Fifth Edition Foes,170
Midnight Peddler,Medium,Fey,,Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,170
Mite,Small,Fey,,Lawful Neutral,1/8,,x,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,171
Pestie Mite,Small,Fey,,Lawful Neutral,1/4,,x,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,172
Mummy of the Deep,Medium,Undead,Aquatic,Neutral Evil,2,,,,,,,,,x,,,,,,x,x,,,,Fifth Edition Foes,173
Murder Crow,Medium,Undead,,Chaotic Evil,3,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,174
Hanu-naga,Large,Monstrosity,,Chaotic Evil,2,,,,,,,,,,,x,,,x,x,,,,x,Fifth Edition Foes,175
Olive Slime,Large,Plant,Fungus,Unaligned,0,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,176
Olive Slime Zombie,Medium,Plant,,Neutral Evil,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,177
Glacial Ooze,Large,Ooze,,Unaligned,1,,,,,,,,x,,,,,,x,,,,,,Fifth Edition Foes,178
Magma Ooze,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,x,,x,,,,Fifth Edition Foes,179
Origami Warrior,Medium,Construct,,Unaligned,1/8,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,180
Pech,Small,Fey,,Neutral Good,1/4,,x,,,,,,,,,,,,,,x,,,x,Fifth Edition Foes,181
Phycomid,Small,Plant,Fungus,Neutral Evil,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,182
Brontotherium,Huge,Beast,,Unaligned,6,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,183
Hyaenodon,Large,Beast,,Unaligned,1,,,,,,,,,,x,,x,x,,,,,,,Fifth Edition Foes,184
Mastodon,Huge,Beast,,Unaligned,4,,,,,,,,x,,,x,x,x,,,,,,,Fifth Edition Foes,185
Woolly Rhinoceros,Large,Beast,,Unaligned,6,,,,,,,,x,,,x,x,,,x,,,,,Fifth Edition Foes,186
Blood Pudding,Medium,Ooze,,Unaligned,2,,,,,,,,,,,,,,,x,x,,,,Fifth Edition Foes,187
Pyrolisk,Small,Monstrosity,,Neutral Evil,1/2,,,,,,,,,,x,,x,,,,x,,,,Fifth Edition Foes,188
Quadricorn,Large,Monstrosity,,Neutral Evil,4,,,,,,,,,,,,x,x,,,,,,,Fifth Edition Foes,189
Quickwood,Huge,Plant,,Neutral,8,,,,,,,,,,,x,,x,x,,,,,,Fifth Edition Foes,190
Shadow Rat,Tiny,Undead,,Unaligned,0,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,191
Red Jester,Medium,Undead,,Chaotic Neutral,5,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,192
Ronus,Medium,Monstrosity,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,193
Russet Mold,Medium,Plant,Fungus,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,194
Ryven,Medium,Humanoid,,Neutral,1,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,195
Sandling,Large,Elemental,,Unaligned,1,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,196
Screaming Devilkin,Small,Fiend,,Lawful Neutral,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,197
Scythe Tree,Huge,Plant,,Chaotic Evil,5,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,198
Brine Sea Serpent,Huge,Dragon,Aquatic,Chaotic Evil,10,,,,,,,,,,,,,,,,,x,,,Fifth Edition Foes,199
Deep Hunter Sea Serpent,Gargantuan,Dragon,Aquatic,Lawful Neutral,14,,,x,,,,,,,,,,,,,,x,,,Fifth Edition Foes,200
Fanged Sea Serpent,Large,Dragon,Aquatic,Neutral Evil,5,,,,,,,,,,,,,,,,,x,,,Fifth Edition Foes,201
Shipbreaker Sea Serpent,Gargantuan,Dragon,Aquatic,Chaotic Neutral,20,,,x,,,,,,,,,,,,,,x,,,Fifth Edition Foes,202
Spitting Sea Serpent,Large,Dragon,Aquatic,Chaotic Evil,5,,,,,,,,,,,,,,,,,x,,,Fifth Edition Foes,204
Giant Sea Horse,Large,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,x,,,Fifth Edition Foes,205
Sepulchral Guardian,Medium,Construct,,Unaligned,3,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,206
Shadow Mastiff,Medium,Fiend,Monstrosity,Chaotic Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,207
Lesser Shadow,Medium,Undead,,Chaotic Evil,1/8,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,208
Shroom,Small,Plant,Fungus,Chaotic Evil,4,,x,,x,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,209
Skeleton Warrior,Medium,Undead,,Neutral Evil,14,,,x,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,210
Stygian Skeleton,Medium,Undead,,Chaotic Evil,7,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,212
Skelzi,Medium,Humanoid,,Chaotic Evil,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,213
Skulk,Medium,Humanoid,,Chaotic Neutral,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,214
Slithering Tracker,Small,Ooze,,Unaligned,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,215
Soul Reaper,Large,Undead,,Neutral Evil,16,,x,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,216
Stegocentipede,Huge,Beast,,Unaligned,4,,,,,,,,,,,x,,,,,x,,,,Fifth Edition Foes,217
Strangle Weed,Large,Plant,Aquatic,Unaligned,2,,,,,,,,,x,,,,,,x,x,x,,,Fifth Edition Foes,218
Tabaxi,Medium,Humanoid,,Chaotic Neutral,1/2,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,219
Taer,Medium,Humanoid,,Neutral,1,,,,,,,,x,,,,,,x,,,,,,Fifth Edition Foes,220
Tangtal,Medium,Monstrosity,,Neutral Evil,1,,,,,,,,,,,x,x,,,,,,,,Fifth Edition Foes,221
Tazelwurm,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,x,x,,,,,,Fifth Edition Foes,222
Temporal Crawler,Medium,Aberration,,Neutral Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,223
Tendriculos,Large,Plant,,Unaligned,4,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,224
Tentacled Horror,Huge,Aberration,,Chaotic Evil,11,,,x,,,,,,,,,,,,,x,,,,Fifth Edition Foes,225
Foxwere,Small,Monstrosity,Shapechanger,Lawful Neutral,1/2,,,,,,,,x,,,x,,x,,,x,,,,Fifth Edition Foes,227
Lionwere,Large,Monstrosity,Shapechanger,Chaotic Evil,2,,,,,,,,,,x,,x,,,,x,,,,Fifth Edition Foes,228
Owlwere,Small,Monstrosity,Shapechanger,Chaotic Evil,1/2,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,229
Wolfwere,Medium,Monstrosity,Shapechanger,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,x,,,,Fifth Edition Foes,230
Lightning Treant,Huge,Plant,,Neutral Evil,6,,x,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,231
Tri-Flower Frond,Medium,Plant,,Unaligned,1/2,,,,,,,,,,,x,,x,,x,,,,,Fifth Edition Foes,232
Dark Triton,Large,Monstrosity,Aquatic,Chaotic Evil,1,,x,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,233
Spectral Troll,Large,Undead,,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,234
Two-headed Troll,Large,Giant,,Chaotic Evil,6,,,,,,,,,,,,,x,x,,x,,,,Fifth Edition Foes,235
Tunnel Prawn,Small,Beast,,Unaligned,1/8,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,236
Tunnel Worm,Huge,Monstrosity,,Unaligned,8,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,237
Vampire Rose,Small,Plant,,Unaligned,1/4,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,238
Vegepygmy Chief,Small,Plant,Fungus,Unaligned,3,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,239
Vegepygmy Commoner/Worker,Small,Plant,Fungus,Unaligned,1/8,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,239
Vegepygmy Guard,Small,Plant,Fungus,Unaligned,1/2,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,239
Volt,Small,Aberration,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,241
Vorin,Huge,Monstrosity,Aquatic,Chaotic Evil,9,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,242
Vulchling,Medium,Monstrosity,,Chaotic Evil,1/8,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,243
Lava Weird,Large,Elemental,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,244
Were-Mist,Large,Aberration,,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,245
Weredactyl,Medium,Humanoid,Shapechanger,Neutral Evil,2,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,246
Widow Creeper,Large,Plant,,Unaligned,10,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,247
Witch Grass,Small,Plant,,Unaligned,0,,,,,,,,,,,x,x,x,,x,,,,,Fifth Edition Foes,248
Witherstench,Small,Monstrosity,,Unaligned,0,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,249
Yellow Musk Creeper,Large,Plant,,Unaligned,1,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,250
Yellow Musk Zombie,Medium,Plant,,Neutral Evil,1/4,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,251
